ISSN,Título,Estrato
2236-1170,"Revista Eletrônica em Gestão, Educação e Tecnologia Ambiental",B5
1515-3983,Revista Espacios,B5
2237-8847,Revista FATESF,B5
2237-0722,"Revista GEINTEC: gestao, inovacao e tecnologias",B5
1981-089X,Revista Geografar (UFPR),B5
1983-4535,Revista Gestao Universitaria na America Latina - GUAL,B4
1808-0448,Revista Gestão Industrial,B5
1677-9762,Revista Gestão do Conhecimento (Curitiba. Impresso),B5
1983-4195,Revista IBRACON de Estruturas e Materiais,B4
1548-0992,Revista IEEE América Latina,B2
2358-3630,Revista IPH,B5
2176-0756,Revista Iberoamericana de Estratégia,B4
1137-2729,Revista Iberoamericana de Ingeniería Mecánica,B5
0717-9103,Revista Ingenieria Industrial,B4
0213-1315,Revista Internacional de Métodos Numéricos para Cálculo y Diseño en Ingeniería,B2
0255-6952,Revista Latinoamericana de Metalurgia y Materiales,B3
1518-8043,Revista Liberato (Novo Hamburgo),B5
0034-9860,Revista Marítima Brasileira,B5
2318-3233,Revista Metropolitana de Sustentabilidade,B4
2316-4522,Revista Militar de Ciência e Tecnologia,B5
0104-8031,Revista Mineira de Educacao Fisica (UFV),B5
1981-4089,Revista Mirante (UFG),B5
2236-1308,Revista Monografias Ambientais,B5
1982-1832,Revista Mundologística,B5
2316-2848,Revista Organização Sistêmica,B5
0103-0582,Revista Paulista de Pediatria (Impresso),B2
1982-2596,Revista Pensamento Contemporâneo em Administração (UFF),B5
1981-8521,Revista Processos Químicos,B5
1676-1901,Revista Produção Online,B4
2176-9230,Revista Práxis (Online),B5
1984-4239,Revista Práxis (Volta Redonda.Impresso),B5
1676-7845,Revista Qualidade Banas,B5
1809-3957,Revista SODEBRAS,B5
1678-1252,Revista STREM,B5
1980-6973,Revista Soldagem e Inspeção,B3
1676-1995,Revista Tamoios (Impresso),B5
0101-8191,Revista Tecnologia (UNIFOR),B5
1984-3526,Revista Tecnologia e Sociedade (Online),B5
0254-0770,Revista Técnica de la Facultad de Ingeniería. Universidad del Zulia,B2
2179-5037,Revista UNIABEU,B5
1809-3337,Revista Universo Contábil,B4
1981-8203,Revista Verde de Agroecologia e Desenvolvimento Sustentável,B4
1984-6835,Revista Virtual de Química,B3
1983-3083,Revista da Educação física (UEM. Online),B3
0080-6234,Revista da Escola de Enfermagem da USP (Impresso),B1
1516-1234,Revista da FAE,B5
1413-4012,Revista da Faculdade de Odontologia. Universidade de Passo Fundo,B5
0100-7246,Revista da Propriedade Industrial,B5
1679-8708,Revista da UNIFEBE,B5
0080-2107,Revista de Administração (FEA-USP),B4
1983-4659,Revista de Administração da UFSM,B4
0103-8575,Revista de Ciência & Tecnologia,B5
1516-3865,Revista de Ciências da Administração (CAD/UFSC),B4
1984-3291,Revista de Contabilidade do Mestrado em Ciências Contábeis da UERJ (Online),B5
2318-7689,Revista de Direito Empresarial,B5
1415-9848,Revista de Economia Contemporânea (Impresso),B3
0103-2003,Revista de Economia e Sociologia Rural (Impresso),B2
1981-8610,Revista de Educação e Pesquisa em Contabilidade,B4
1981-8963,Revista de Enfermagem UFPE On Line,B4
2358-6508,Revista de Engenharia Civil IMED,B5
1678-5738,Revista de Engenharia da Universidade Católica de Petrópolis,B5
2176-7270,Revista de Engenharia e Tecnologia,B5
2236-0158,Revista de Ensino de Engenharia,B4
0101-5001,Revista de Ensino de Engenharia,B4
0000-000X,Revista de Epidemiologia e Controle de Infecção,B5
2236-0972,Revista de Gestão e Projetos,B5
1982-3967,Revista de Informação Contábil (UFPE),B5
1980-4431,Revista de Negócios (Online),B5
2175-1323,Revista de Saúde Pública de Santa Catarina,B5
1679-5350,Revista de administração da Unimep,B5
1678-3832,Revista do IST,B5
2176-9168,Revista em Agronegócios e Meio Ambiente,B3
0035-4511,Rheologica Acta (Print),A2
0272-4332,Risk Analysis,A2
0263-5747,Robotica (Cambridge. Print),B1
1980-5160,S & G. Sistemas & Gestão,B5
1946-3979,SAE International Journal of Materials and Manufacturing (Print),B2
0148-7191,SAE Technical Paper Series,B5
0036-1410,SIAM Journal on Mathematical Analysis (Print),A1
0036-1445,SIAM Review (Print),A1
0925-7535,Safety Science,A2
2317-8582,Saúde e Desenvolvimento Humano,B5
1355-0306,Science & Justice,B1
1362-1718,Science and Technology of Welding and Joining,A2
0048-9697,Science of the Total Environment,A1
0162-2439,"Science, Technology, & Human Values",A1
1808-2793,Scientia Plena,B4
1992-2248,Scientific Research and Essays,C 
1359-6462,Scripta Materialia,A1
1809-0648,Seleção Documental,C 
1424-8220,Sensors (Basel),B1
0924-4247,"Sensors and Actuators. A, Physical",A2
0925-4005,"Sensors and Actuators. B, Chemical",A1
1383-5866,Separation and Purification Technology (Print),A1
1070-9622,Shock and Vibration,B1
1983-2753,Siderurgia Brasil,B5
0165-1684,Signal Processing (Print),A2
0037-5497,"Simulation (San Diego, Calif.)",B1
1677-499X,Sinergia (CEFETSP),B5
2177-451X,Sinergia (IFSP. Online),B5
0909-752X,Skin Research and Technology,B1
0964-1726,Smart Materials and Structures (Print),A2
1738-1584,Smart Structures and Systems (Print),B1
0134-5486,Social Sciences,B3
1982-4513,Sociedade & Natureza (UFU. Online),B4
1982-7342,"Sociedade, Contabilidade e Gestão (UFRJ)",B4
0038-0121,Socio-Economic Planning Sciences,B2
0104-9224,Soldagem e Inspeção (Impresso),B2
0038-1098,Solid State Communications,B1
2165-2627,Stability - International Journal of Security & Development,B5
1572-3127,Statistical Methodology,B1
0233-1888,Statistics (Berlin),A1
1757-6512,Stem cell research & therapy,A2
1984-2988,Strategic Design Research Journal,B5
0039-2480,Strojniski Vestnik,B1
1545-2255,Structural Control & Health Monitoring (Print),A2
1475-9217,Structural Health Monitoring,A1
1615-1488,Structural and Multidisciplinary Optimization (Internet),A2
1615-147X,Structural and Multidisciplinary Optimization (Print),A2
1383-7281,Studies in Applied Electromagnetics and Mechanics,B4
0926-9630,Studies in Health Technology and Informatics,B2
0953-2048,Superconductor Science and Technology (Print),A2
1359-8546,Supply Chain Management,A1
0257-8972,Surface & Coatings Technology,A2
0267-0844,Surface Engineering,B1
0142-2421,Surface and Interface Analysis (Print),B1
2071-1050,Sustainability (Basel),B1
1807-5908,Sustainable Business International Journal,B5
1516-3180,São Paulo Medical Journal (Impresso),B1
1415-8892,T & N Petróleo,B5
1678-3824,T&C Amazônia,B5
1677-1966,TEMA. Tendências em Matemática Aplicada e Computacional,B4
0039-9140,Talanta (Oxford),A2
0166-4972,Technovation,A1
1982-6753,Tecno-lógica (Santa Cruz do Sul . Online),B5
1414-8498,Tecnologia & Cultura (CEFET/RJ),B5
2176-1515,"Tecnologia em Metalurgia, Materiais e Mineração (Impresso)",B4
0040-1951,Tectonophysics (Amsterdam),A1
2176-4808,Tekhne e Logos,B5
1516-2338,Telecomunicações (Santa Rita do Sapucaí),B4
2317-7764,Temiminós Revista Científica,B4
0872-8941,Territorium (Coimbra),B5
0040-5175,Textile Research Journal,A1
1677-9509,Textos & Contextos (Porto Alegre),B5
0570-1864,The Annals of Regional Science,B1
2041-8205,The Astrophysical Journal. Letters,A1
2090-4819,The Cairo Review of Global Affairs,B5
1055-6656,The Cleft Palate-Craniofacial Journal (Print),B2
1681-8997,The Empirical Economics Letters,B4
1951-6355,The European Physical Journal. Special Topics,B1
2319-2119,The Experiment Journal,B5
0256-6419,The FIEP Bulletin,B4
1559-2448,The International Food and Agribusiness Management Review (Online),B1
0391-3988,The International Journal of Artificial Organs (Testo stampato),B1
0948-3349,The International Journal of Life Cycle Assessment,A2
1750-9548,The International Journal of Multiphysics,B3
1741-0401,The International Journal of Productivity and Performance Management,B2
0021-8464,The Journal of Adhesion (Print),B1
0885-8624,The Journal of Business & Industrial Marketing,B1
0021-9606,The Journal of Chemical Physics,A2
1526-3711,The Journal of Contemporary Dental Practice,B2
1029-8479,The Journal of High Energy Physics (Online),A1
0190-6011,The Journal of Orthopaedic and Sports Physical Therapy,A2
1089-5639,The Journal of Physical Chemistry. A,A2
0022-3913,The Journal of Prosthetic Dentistry (Print),A2
1088-1697,The Journal of Solid Waste Technology and Management,B3
0896-8446,The Journal of Supercritical Fluids,A2
0164-1212,The Journal of Systems and Software,A2
1129-7298,The Journal of Vascular Access (Print),B2
Jan-66,The Journal of the Acoustical Society of America,A2
2093-0569,The Korean Journal of Pain,B5
1537-744X,The Scientific World Journal,B1
0304-3975,Theoretical Computer Science,B1
0167-8442,Theoretical and Applied Fracture Mechanics (Print),B1
0040-6031,Thermochimica Acta (Print),B1
0040-6090,Thin Solid Films,A2
0263-8231,Thin-Walled Structures,A2
0261-5177,Tourism Management (1982),A1
0378-4274,Toxicology Letters,A2
0315-8977,Transactions of the Canadian Society for Mechanical Engineering,B1
1866-4733,Transactions on Computational Science (Print),C 
2161-3915,Transactions on Emerging Telecommunications Technologies (Online),B1
0103-3786,Transinformação,B2
0144-1647,Transport Reviews,B1
0169-3913,Transport in Porous Media,B1
0965-8564,"Transportation Research. Part A, Policy and Practice",A1
1366-5545,"Transportation Research. Part E, Logistics and Transportation Review",A1
2237-1346,Transportes (Rio de Janeiro),B4
1751-5831,Tribology (Leeds. Print),B2
0301-679X,Tribology International,A1
1023-8883,Tribology Letter,A1
1882-5729,Tropics,B5
2358-212X,"Tropos: Comunicação, Sociedade e Cultura",B5
2318-5694,"Tríade: Comunicação, Cultura e Mídia",B5
0886-7798,Tunnelling and Underground Space Technology,A2
1983-7151,Turismo: Visão e Ação (Online),B4
1302-6488,Turkish Online Journal of Distance Education-TOJDE,B3
1517-9427,UNOPAR Científica. Ciências Jurídicas e Empresariais,B5
0041-624X,Ultrasonics (Guildford),A2
0301-5629,Ultrasound in Medicine & Biology,A2
1657-4249,Uni-pluri (Medellin),B5
2317-1111,Unisanta Bioscience,B5
2317-1294,Unisanta Humanitas,B5
1657-9267,Universitas Psychologica,B2
0042-207X,Vacuum (Oxford),B1
1538-5744,Vascular and Endovascular Surgery,B2
0102-7352,Vetor (FURG),B5
0242-2794,Villes en parallèle,B5
1745-2759,Virtual and Physical Prototyping (Print),B2
0186-9418,Voices of Mexico,B5
1415-2843,Vértices (Campos dos Goitacazes),B5
1743-3509,WIT Transactions on the Built Environment (Online),B3
2224-3429,WSEAS Transactions on Applied and Theoretical Mechanics,C 
1109-9526,WSEAS Transactions on Business and Economics,C 
2224-266X,WSEAS Transactions on Circuits and Systems,C 
1790-5087,WSEAS Transactions on Fluid Mechanics,C 
1109-2769,WSEAS Transactions on Mathematics,C 
1109-2777,WSEAS Transactions on Systems,C 
0956-053X,Waste Management (Elmsford),A2
0734-242X,Waste Management and Research,B1
2073-4441,Water,B1
1876-1658,"Water Quality, Exposure and Health",B4
0920-4741,Water Resources Management,A1
0043-1397,Water Resources Research,A1
1606-9749,Water Science and Technology: Water Supply (Print),B2
0950-7116,Welding International,B3
1754-2138,Welding International (Online),B3
0043-2296,Welding Journal,A1
0043-2288,Welding in the World,B1
1051-9815,"Work (Reading, MA)",B2
1746-7233,World Journal of Modelling and Simulation,C 
0172-2190,World Patent Information,C 
0044-2267,Zeitschrift fur Angewandte Mathematik und Mechanik,B1
0798-7269,Zootecnia Tropical - FONAIAP,B3
0344-8657,Zuckerindustrie (Berlin) / Sugar Industry (Berlin),B2
1984-2902,iSys: Revista Brasileira de Sistemas de Informação,B5
1847-9286,journal of electroanalytical science and engineering,B5
2179-9784,Águas Subterrâneas,B5
