ISSN,Título,Estrato
1983-4535,Revista Gestao Universitaria na America Latina - GUAL,B4
1808-0448,Revista Gestão Industrial,B5
1677-9762,Revista Gestão do Conhecimento (Curitiba. Impresso),B5
1807-975X,Revista Hospitalidade,B5
1983-4195,Revista IBRACON de Estruturas e Materiais,B4
1548-0992,Revista IEEE América Latina,B2
1850-0013,Revista Iberoamericana de Ciencia Tecnología y Sociedad (En Línea),B4
1022-6508,Revista Iberoamericana de Educación (Impresa),B4
1137-2729,Revista Iberoamericana de Ingeniería Mecánica,B5
1988-4206,Revista Iberoamericana de Polímeros (Internet),B5
2177-2649,Revista Ilha Digital,B5
1984-8625,Revista Iluminart,B5
2175-8247,Revista Innovare,B5
2318-9851,"Revista Inovação, Projetos e Tecnologia",B5
2236-210X,Revista Inteligência Competitiva,B5
2316-7041,Revista Internacional de Ciências,B5
0213-1315,Revista Internacional de Métodos Numéricos para Cálculo y Diseño en Ingeniería,B2
1518-8043,Revista Liberato (Novo Hamburgo),B5
0034-9860,Revista Marítima Brasileira,B5
2318-3233,Revista Metropolitana de Sustentabilidade,B4
2236-1308,Revista Monografias Ambientais,B5
1982-1832,Revista Mundologística,B5
1982-8756,Revista Organizações em Contexto (Online),B4
0103-0582,Revista Paulista de Pediatria (Impresso),B2
0329-5001,"Revista Petroquímica, Petróleo, Gas & Química",B5
1676-1901,Revista Produção Online,B4
2178-6860,Revista Produção em Foco,B5
1676-7845,Revista Qualidade Banas,B5
1582-456X,Revista Româna de Stiinte Politice,B5
1809-3957,Revista SODEBRAS,B5
1980-6973,Revista Soldagem e Inspeção,B3
0101-8191,Revista Tecnologia (UNIFOR),B5
1984-4867,Revista Turismo em Análise,B4
2179-5037,Revista UNIABEU,B5
1415-3580,Revista UNIARA,B5
0103-9989,Revista USP,B5
1809-3337,Revista Universo Contábil,B4
1519-6178,Revista Urutágua (Online),B5
1981-8203,Revista Verde de Agroecologia e Desenvolvimento Sustentável,B4
1984-6835,Revista Virtual de Química,B3
2316-7246,Revista ZEITGEIST,B5
1676-1316,Revista da ESPM,B5
2238-9377,Revista da Estrutura de Aço,B5
1516-1234,Revista da FAE,B5
0100-7246,Revista da Propriedade Industrial,B5
2237-7956,Revista de Administracao IMED,B5
0080-2107,Revista de Administração (FEA-USP),B4
0034-7612,Revista de Administração Pública (Impresso),B3
1983-4659,Revista de Administração da UFSM,B4
2176-8366,Revista de Administração e Negócios da Amazônia (Online),B5
1807-9652,Revista de Biologia Neotropical,B5
1415-6571,Revista de Ciências Gerenciais,B5
2175-8077,Revista de Ciências da Administração,B4
1516-3865,Revista de Ciências da Administração (CAD/UFSC),B4
1982-6486,Revista de Contabilidade e Organizações,B5
1676-7608,Revista de Economia e Administração (Impresso),B5
1679-1614,Revista de Economia e Agronegócio,B5
0103-2003,Revista de Economia e Sociologia Rural (Impresso),B2
1981-8610,Revista de Educação e Pesquisa em Contabilidade,B4
1981-8963,Revista de Enfermagem UFPE On Line,B4
2176-7270,Revista de Engenharia e Tecnologia,B5
0101-5001,Revista de Ensino de Engenharia,B4
2236-0158,Revista de Ensino de Engenharia,B4
2316-9834,Revista de Gestao Ambiental e Sustentabilidade,B5
1807-1775,Revista de Gestão da Tecnologia e Sistemas de Informação (Online),B4
2236-0301,Revista de Gestão e Operações Produtivas,B5
2236-0972,Revista de Gestão e Projetos,B5
1988-7116,"Revista de Globalizacion, Competitividad y Gobernabilidad",B4
2175-2745,Revista de Informática Teórica e Aplicada: RITA,B5
0102-0811,Revista de Matemática e Estatística (Impresso),B5
1679-0693,Revista de Negócios Internacionais (UNIMEP),B5
1415-5273,Revista de Nutrição (Impresso),B2
2175-5361,Revista de Pesquisa: Cuidado e Fundamental (Online),B4
0370-694X,Revista de Química Industrial,B5
0034-8910,Revista de Saúde Pública (Impresso),B1
1679-5350,Revista de administração da Unimep,B5
0329-7322,Revista de la Escuela de Perfeccionamiento en Investigación Operativa,B5
0718-9605,Revista del Instituto Chileno de investigación Operativa,B5
1646-6896,Revista del Instituto Internacional de Costos,B5
1415-2061,Revista do CCEI,B5
0103-5827,Revista do Couro,B5
1678-3832,Revista do IST,B5
0102-7212,Revista dos Transportes Públicos,B5
2215-8227,Revista eletrônica da associação colombiana para a pesquisa na educação em ciências e tecnologias,B5
0100-6762,Revista Árvore (Impresso),B2
0035-4511,Rheologica Acta (Print),A2
0272-4332,Risk Analysis,A2
2281-3349,Rivista on line del Centro di Documentazione Europa Dell'Uke,B5
0263-5747,Robotica (Cambridge. Print),B1
1365-2966,Royal Astronomical Society. Monthly Notices,B2
1980-5160,S & G. Sistemas & Gestão,B5
1946-3936,SAE International Journal of Engines (Print),B2
0148-7191,SAE Technical Paper Series,B5
1319-0164,SAUDI PHARMACEUTICAL JOURNAL,B5
1052-6234,SIAM Journal on Optimization (Print),A1
1064-8275,SIAM Journal on Scientific Computing (Print),A1
1551-3688,SIGBED Review,B5
1086-055X,SPE Journal (Society of Petroleum Engineers (U.S.). 1996),A1
0925-7535,Safety Science,A2
0104-1290,Saúde e Sociedade (USP. Impresso),B2
1414-218X,"Saúde, Ética & Justiça",B5
0304-4238,Scientia Horticulturae,A1
1808-2793,Scientia Plena,B4
0122-1701,Scientia et Technica,B5
1346-0862,Scientiae Mathematicae Japonicae (Print),B4
1992-2248,Scientific Research and Essays,C 
0138-9130,Scientometrics (Print),A2
1359-6462,Scripta Materialia,A1
1809-0648,Seleção Documental,C 
1679-0375,Semina. Ciências Exatas e Tecnológicas (Online),B4
1424-8220,Sensors (Basel),B1
1424-220,Sensors (Basel),B1
0924-4247,"Sensors and Actuators. A, Physical",A2
0098-7913,Serials Review,B1
1070-9622,Shock and Vibration,B1
0165-1684,Signal Processing (Print),A2
0037-5349,Silvae Genetica,B2
1677-499X,Sinergia (CEFETSP),B5
2177-451X,Sinergia (IFSP. Online),B5
0964-1726,Smart Materials and Structures (Print),A2
0102-6992,Sociedade e Estado (UnB. Impresso),B3
1415-5893,Sociedade e Território (Natal),B5
1982-7342,"Sociedade, Contabilidade e Gestão (UFRJ)",B4
0361-5995,Soil Science Society of America Journal,A2
1980-9743,Soils & Rocks,B3
0038-092X,Solar Energy,A1
0104-9224,Soldagem e Inspeção (Impresso),B2
1386-1425,"Spectrochimica Acta. Part A, Molecular and Biomolecular Spectroscopy (Print)",A2
0584-8547,"Spectrochimica Acta. Part B, Atomic Spectroscopy",A1
2193-1801,SpringerPlus,B3
0932-5026,Statistical Papers (1988),B1
1757-6512,Stem cell research & therapy,A2
1615-1488,Structural and Multidisciplinary Optimization (Internet),A2
1615-147X,Structural and Multidisciplinary Optimization (Print),A2
0953-2048,Superconductor Science and Technology (Print),A2
0257-8972,Surface & Coatings Technology,A2
2071-1050,Sustainability (Basel),B1
1807-5908,Sustainable Business International Journal,B5
2032-7471,Sustainable Construction and Design,B4
2179-9067,Sustentabilidade em Debate,B5
1094-429X,Systemic Practice and Action Research,B2
1677-1966,TEMA. Tendências em Matemática Aplicada e Computacional,B4
0039-9140,Talanta (Oxford),A2
0104-1053,Techne : Revista de Tecnologia da Construção (São Paulo),B5
0040-1625,Technological Forecasting & Social Change,A2
1982-6753,Tecno-lógica (Santa Cruz do Sul . Online),B5
1414-8498,Tecnologia & Cultura (CEFET/RJ),B5
2176-1515,"Tecnologia em Metalurgia, Materiais e Mineração (Impresso)",B4
0040-1951,Tectonophysics (Amsterdam),A1
0308-5961,Telecommunications Policy,B1
1516-2338,Telecomunicações (Santa Rita do Sapucaí),B4
0103-2070,Tempo Social (USP. Impresso),B3
2238-104X,Teoria e Pratica em Administracao,B5
1677-3047,Teoria e Prática na Engenharia Civil (Online),B5
2041-8205,The Astrophysical Journal. Letters,A1
1040-6190,The Electricity Journal,B2
1081-3810,The Electronic Journal of Linear Algebra,B2
1681-8997,The Empirical Economics Letters,B4
1434-6028,"The European Physical Journal. B, Condensed Matter Physics (Print)",B1
1951-6355,The European Physical Journal. Special Topics,B1
1951-6401,The European Physical Journal. Special Topics (Online),B1
0256-6419,The FIEP Bulletin,B4
1559-2448,The International Food and Agribusiness Management Review (Online),B1
0391-3988,The International Journal of Artificial Organs (Testo stampato),B1
0948-3349,The International Journal of Life Cycle Assessment,A2
1748-1317,The International Journal of Low Carbon Technologies (Print),B2
1750-9548,The International Journal of Multiphysics,B3
0882-2786,The International Journal of Oral and Maxillofacial Implants,A2
1741-0401,The International Journal of Productivity and Performance Management,B2
0946-5448,The International Tinnitus Journal,B3
0021-8464,The Journal of Adhesion (Print),B1
0021-9606,The Journal of Chemical Physics,A2
1532-3382,The Journal of Evidence-Based Dental Practice,B2
0160-6972,The Journal of Oral Implantology,B1
1753-2116,The Journal of Pipeline Engineering,B4
0896-8446,The Journal of Supercritical Fluids,A2
Jan-66,The Journal of the Acoustical Society of America,A2
1874-1231,The Open Chemical Engineering Journal,B2
1537-744X,The Scientific World Journal,B1
0583-1024,The Shock and Vibration Digest,C 
1090-0233,"The Veterinary Journal (London, England. 1997)",A1
0304-3975,Theoretical Computer Science,B1
0263-2764,"Theory, Culture & Society",A1
0040-6090,Thin Solid Films,A2
0165-9936,TrAC. Trends in Analytical Chemistry (Regular ed.),A1
0103-3786,Transinformação,B2
0169-3913,Transport in Porous Media,B1
0308-1060,Transportation Planning and Technology,B2
0965-8564,"Transportation Research. Part A, Policy and Practice",A1
0968-090X,"Transportation Research. Part C, Emerging Technologies",A1
0041-1655,Transportation Science,A1
2237-1346,Transportes (Rio de Janeiro),B4
1980-9204,Tratamento de Superfície,C 
0301-679X,Tribology International,A1
1302-6488,Turkish Online Journal of Distance Education-TOJDE,B3
1350-4177,Ultrasonics Sonochemistry,A1
2317-1111,Unisanta Bioscience,B5
1537-1514,Usa-China Business Review. (Chinese),C 
0042-207X,Vacuum (Oxford),B1
1539-1663,Vadose Zone Journal,A2
0304-4017,Veterinary Parasitology (Print),A1
0102-7352,Vetor (FURG),B5
0924-2031,Vibrational Spectroscopy (Print),B1
1415-2843,Vértices (Campos dos Goitacazes),B5
1743-3541,WIT Transactions on Ecology and the Environment (Online),B3
1991-8747,WSEAS Transactions on Applied and Theoretical Mechanics,C 
2224-3429,WSEAS Transactions on Applied and Theoretical Mechanics,C 
1109-2777,WSEAS Transactions on Systems,C 
1991-8763,WSEAS Transactions on Systems and Control,C 
0275-6196,Waste Management,C 
0956-053X,Waste Management (Elmsford),A2
0734-242X,Waste Management and Research,B1
1751-231X,Water Practice and Technology,B3
0920-4741,Water Resources Management,A1
0043-1397,Water Resources Research,A1
0273-1223,Water Science and Technology,B1
1606-9749,Water Science and Technology: Water Supply (Print),B2
0165-2125,Wave Motion,B1
0043-1648,Wear (Lausanne),A1
0043-2296,Welding Journal,A1
0309-524X,Wind Engineering,B2
2160-0503,World Journal of Mechanics,C 
2161-6795,World Journal of Nuclear Science and Technology,C 
0043-8790,World Oil,B3
1984-4670,Zoologia (Curitiba): an international journal for zoology,B1
2179-9784,Águas Subterrâneas,B5
1983-6171,Ímpeto,B5
